words,document_3,document_2,document_1,document_5,document_4,document_6,document_7,document_11,document_10,document_12,document_13,document_17,document_16,document_14,document_15,document_18,document_19,document_20,document_9,document_8
criminal,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
determined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
bands,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
statute,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
allow,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
variety,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0
demands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Implantation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
am,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
Italeros,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruled,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jcp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
help,0,1,2,2,2,4,0,0,0,0,0,0,1,0,10,0,7,4,0,0
regulate,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
redirect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zenith,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
extensive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
inviting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0
position,0,0,0,0,0,4,0,0,0,1,0,1,0,0,1,0,4,2,0,2
hotter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certainly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
conventions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bernice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
room,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0
recruit,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
three-member,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Following,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
Despite,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0
bifocals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
grunting,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
promoting,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
mechanics,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grandmother,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rebellion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
heating,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ScotlandBilly,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
salvaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
numerous,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,1
Perth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
impromptu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
proportion,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
initiations,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dismissed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
dishes,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suitable,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Divination,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
breweries,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dalibard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
segregated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
supply,0,0,0,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
compiled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
drum,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
testify,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
tomorrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
raisins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bread,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adenoviruses,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pastry,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subside,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
judgment,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
navigating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
likelihood,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preaching,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kicked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
synthesize,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rigid,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Automatenmarken,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
son,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0
aimed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
crown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
hearings,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Topoisomerases,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estimates,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
excavated,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
navy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
tectonic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baengnyeong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
unchallenged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tenth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Housecat,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNase,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Healthline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1987,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
pair,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
officials,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8
Og,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Socrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
glycol,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u-M,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
first-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uterine,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
immune,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parties,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0
Autopost,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
U-Bahn,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Said,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
infested,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
promises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Feral,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predisposed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fr,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
stated,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,16,0,11
orders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Order,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Chenies,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
regulation,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
most,0,0,5,1,1,22,1,0,0,0,0,1,1,0,3,0,18,10,0,5
coffee,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
petted,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Lexington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
such,0,4,1,4,3,29,3,6,0,1,0,0,1,0,13,0,19,10,0,5
101,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,1,0,2
elongating,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antagonism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
clarified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
items,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Wiesn,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surpass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
booked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
template,0,1,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assisting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initiation,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stuck,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavier,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Duck,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
partially,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lawlessness,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
between,0,5,2,1,9,15,2,0,0,0,0,0,1,0,7,0,9,5,0,4
tactics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
questions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Additional,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
announced,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,11
Most,0,0,2,1,2,3,1,0,0,0,0,0,0,0,1,0,2,2,0,0
adhering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Measured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Integrated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lucumi,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humanist,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
recognition,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
celebrating,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crusade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
statcoulomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
259,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
neglect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
keratin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vanguard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
173,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
illustrate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Bind,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reconstruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Neri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Discovery,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mountaintop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
suspended,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
had,0,0,2,6,0,2,4,0,0,0,0,4,8,0,3,0,55,58,0,37
steeped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
doubts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
six,0,0,0,3,0,4,1,0,0,0,0,0,0,0,1,0,4,5,0,2
Arnell,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
height,0,0,0,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0
giving,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Gourley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
lady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tribal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geneticist,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adversely,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
righteous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
praise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
trimesters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
continually,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Oceania,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
regretful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
affair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
apt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
and,8,91,122,174,101,285,88,19,6,13,5,30,56,1,125,16,425,390,9,107
re,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Take,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
continuous,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
lacked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
predator,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Administrative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grooming,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
researchers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
health,0,0,5,0,0,4,2,0,2,0,0,0,0,0,18,0,3,0,0,0
Hirsch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
psychology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Phenol-based,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
organisations,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
Centrism,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Naval,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
do,0,3,1,2,5,10,3,0,0,0,0,0,0,0,0,0,6,9,0,2
17-Mar-56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Plantations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
happen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
destiny,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flaws,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jose,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luxurious,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
English,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,5,0,0,1
worship,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
pre-replication,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,11,2,0,0
tolerated,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pheromones,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fer,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verified,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wreckage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
pouncing,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nutrient-rich,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fifth,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-mercapto-3-methylbutan-1-ol,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mother,0,0,0,0,0,3,0,0,0,0,0,0,1,0,16,0,7,4,0,0
eukaryotes,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
descendant,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
nth,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
sup,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Rear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
observing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fauntroy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Birth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
full-scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
relies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Retrieved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
Einstein,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yeasts,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pervasive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cancer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frequency,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
floating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nucleotide,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
theobromine,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debut,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Basel,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
helpful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
hurtful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Practices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
awoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
wealthier,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enduring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
diminish,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
organizer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eisenhower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telomerase,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marketed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
patent,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
inventor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
one-sixth,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amusement,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accomplishments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
oppressed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Foreman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
almighty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
suitability,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kilograms,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1
diurnal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weierstrass,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
coefficient,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ssDNAs,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
trips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
156,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
anxiety,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
troubled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
des,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
complied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
attention,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0
specifically,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
roles,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
networks,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
moist,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caught,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Southern,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
supporter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
pushing,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
systematic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
952,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
electoral,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ubiquitous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dokdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
entering,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Catholics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
regulated,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
finalized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
